Length,EffectiveLength,TPM,NumReads,Weight
"6591","6391.991","23.927101","4969.734563","9983"
"541","342.005","15.567049","173.000000","9993"
"5076","4876.991","0.000000","0.000000","-2"
"1900","1700.991","5.503457","304.189708","9993"
"2623","2423.991","100.043365","7880.000000","10000"
"1930","1730.991","19.242516","1082.339653","9970"
"2342","2142.991","2.010485","140.000000","10000"
"2864","2664.991","0.000000","0.000000","-23"
"7617","7417.991","1.471009","354.575510","9959"
"1942","1742.991","1.344035","76.122402","9976"
"2503","2303.991","12.769391","956.000000","10000"
"989","789.998","4.869417","125.000000","9993"
"3661","3461.991","1.494214","168.091488","9998"
"1646","1446.991","134.413956","6320.000000","10000"
"610","411.003","0.000000","0.000000","0"
"660","461.001","1.092030","16.358486","9998"
"766","566.999","84.533597","1557.466492","9976"
"1204","1004.991","35.410797","1156.391038","9957"
"1789","1589.991","19.319282","998.142469","9941"
"2656","2456.991","61.574569","4916.000000","10000"
"2143","1943.991","35.463958","2240.208128","9998"
"2366","2166.991","75.549330","5319.791872","9998"
"1464","1264.991","63.714927","2619.000000","10000"
"1072","872.991","7.466407","211.801114","9995"
"1044","844.991","145.139325","3985.143781","9995"
"961","761.998","4.361771","108.000000","9995"
"1592","1392.991","1.294219","58.581856","9988"
"442","243.009","3.492898","27.581374","9995"
"9311","9111.991","3.843531","1138.021949","9998"
"7081","6881.991","1.609737","359.978051","9998"
"2642","2442.991","3.148242","249.917639","9998"
"615","416.003","1.633584","22.082361","9998"
"517","318.007","1.812621","18.730534","9981"
"648","449.002","18.142420","264.698042","9971"
"1919","1719.991","50.338759","2813.426512","9993"
"3226","3026.991","37.342455","3673.000000","9986"
"1545","1345.991","10.076742","440.726496","9979"
"4412","4212.991","0.752384","103.000000","10000"
"1252","1052.991","22.718964","777.356125","9990"
"1017","817.991","69.260426","1840.943638","9995"
"551","352.005","34.423874","393.745761","9993"
"2188","1988.991","30.016635","1940.000000","9798"
"1419","1219.991","0.399000","15.817451","9977"
"2648","2448.991","5.491454","437.000000","9997"
"1235","1035.991","114.748473","3862.866894","-65"
"827","627.998","2.456547","50.129171","9998"
"6662","6462.991","11.848398","2488.285101","9920"
"5332","5132.991","13.440083","2241.709951","9974"
"998","798.997","66.221993","1719.309820","-186"
"2011","1811.991","8.031052","472.863067","9972"
"498","299.007","189.461519","1840.812970","9979"
"716","517.000","41.526676","697.629441","9951"
"612","413.003","31.742106","425.987102","9993"
"1814","1614.991","5.762581","302.408561","9981"
"902","702.998","13.791087","315.035621","9998"
"1727","1527.991","23.865889","1184.964379","9998"
"5339","5139.991","17.135639","2862.000000","10000"
"1466","1266.991","15.212337","626.291258","9995"
"3337","3137.991","26.954374","2748.450290","-15"
"1199","999.991","7.727148","251.085817","9998"
"1024","824.991","42.932574","1150.914183","9998"
"797","597.998","26.303243","511.112308","9984"
